run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet32_dkd,resnet32,dkd,clean,0,0.7287999987602234,0.09570258110761642,1.0587631464004517,0.39143767952919006,0.8245025277137756,0.767300009727478,0.5930482149124146,0.4021739065647125
student_resnet32_dkd_nckd,resnet32,dkd,clean,0,0.724399983882904,0.04916800558567047,0.9996726512908936,0.38535985350608826,0.7721208930015564,0.7681000232696533,0.5343868732452393,0.41764214634895325
student_resnet32_scratch,resnet32,none,clean,0,0.7134000062942505,0.08301585912704468,1.0796514749526978,0.4011409282684326,0.7964158058166504,0.7357000112533569,0.7486963272094727,0.34866219758987427
student_wrn_16_2_dkd_nckd,wrn_16_2,dkd,clean,0,0.7351999878883362,0.04401829093694687,0.9485739469528198,0.3663588762283325,0.7785100340843201,0.7853000164031982,0.4526422321796417,0.4377090334892273
student_resnet32_dkd,resnet32,dkd,gaussian_noise,1,0.3955000042915344,0.2822430431842804,3.1432461738586426,0.8521704077720642,0.6777430772781372,0.5300999879837036,1.2835447788238525,0.37242764234542847
student_resnet32_dkd_nckd,resnet32,dkd,gaussian_noise,1,0.3653999865055084,0.2584837079048157,3.1747512817382812,0.8648982644081116,0.6238836646080017,0.5453000068664551,1.0859652757644653,0.4221181273460388
student_resnet32_scratch,resnet32,none,gaussian_noise,1,0.37139999866485596,0.27503451704978943,3.336060047149658,0.8688636422157288,0.6464345455169678,0.4699000120162964,1.5879390239715576,0.31320059299468994
student_wrn_16_2_dkd_nckd,wrn_16_2,dkd,gaussian_noise,1,0.362199991941452,0.2390219271183014,3.1516196727752686,0.8618826866149902,0.6012219190597534,0.5613999962806702,0.952186644077301,0.44169315695762634
student_resnet32_dkd,resnet32,dkd,gaussian_noise,2,0.22699999809265137,0.40855637192726135,5.011872291564941,1.1015695333480835,0.6353851556777954,0.4668000042438507,1.3781309127807617,0.3971222937107086
student_resnet32_dkd_nckd,resnet32,dkd,gaussian_noise,2,0.20890000462532043,0.40523236989974976,5.247213840484619,1.121752142906189,0.6141323447227478,0.5001000165939331,1.1839979887008667,0.448920875787735
student_resnet32_scratch,resnet32,none,gaussian_noise,2,0.2070000022649765,0.418998122215271,5.439302921295166,1.1246708631515503,0.6259981989860535,0.40709999203681946,1.7384283542633057,0.3457161486148834
student_wrn_16_2_dkd_nckd,wrn_16_2,dkd,gaussian_noise,2,0.19779999554157257,0.40385058522224426,5.184399604797363,1.1315712928771973,0.601650595664978,0.516700029373169,1.0950357913970947,0.47534337639808655
student_resnet32_dkd,resnet32,dkd,gaussian_noise,3,0.1388999968767166,0.4829290807247162,6.582874774932861,1.2398329973220825,0.621829092502594,0.41659998893737793,1.4673329591751099,0.37686261534690857
student_resnet32_dkd_nckd,resnet32,dkd,gaussian_noise,3,0.12489999830722809,0.49249517917633057,6.792977333068848,1.258821964263916,0.617395281791687,0.48570001125335693,1.226817011833191,0.46216121315956116
student_resnet32_scratch,resnet32,none,gaussian_noise,3,0.12439999729394913,0.49806278944015503,7.2244696617126465,1.268396019935608,0.6224626898765564,0.39660000801086426,1.7684882879257202,0.3687668740749359
student_wrn_16_2_dkd_nckd,wrn_16_2,dkd,gaussian_noise,3,0.11379999667406082,0.4978466033935547,6.659708499908447,1.2726575136184692,0.6116465926170349,0.5189999938011169,1.1045666933059692,0.5052211880683899
student_resnet32_dkd,resnet32,dkd,gaussian_noise,4,0.11330000311136246,0.5029717683792114,7.187102317810059,1.279581904411316,0.6162718534469604,0.391400009393692,1.5133906602859497,0.35883092880249023
