run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,clean,0,0.6780999898910522,0.017655737698078156,1.0975673198699951,0.43365025520324707,0.691654622554779,0.7123000025749207,0.6537891626358032,0.37970539927482605
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,clean,0,0.7350000143051147,0.030011426657438278,0.9231769442558289,0.3650784194469452,0.7641114592552185,0.7750999927520752,0.4727341830730438,0.41734862327575684
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,gaussian_noise,1,0.42890000343322754,0.12985877692699432,2.4294071197509766,0.7356842756271362,0.5587587952613831,0.5001000165939331,1.3155306577682495,0.32318878173828125
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,gaussian_noise,1,0.4959999918937683,0.12705852091312408,2.1187775135040283,0.6671159863471985,0.623058557510376,0.5795999765396118,1.0069299936294556,0.37112846970558167
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,gaussian_noise,2,0.2757999897003174,0.24809619784355164,3.7709598541259766,0.9428858160972595,0.5238962173461914,0.3792000114917755,1.895460605621338,0.2901619076728821
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,gaussian_noise,2,0.33090001344680786,0.2526342272758484,3.458237409591675,0.9003376960754395,0.5833575129508972,0.4471000134944916,1.5943138599395752,0.3264840245246887
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,gaussian_noise,3,0.1809999942779541,0.3391471207141876,5.0212860107421875,1.081681728363037,0.5201471447944641,0.3098999857902527,2.3141257762908936,0.27007174491882324
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,gaussian_noise,3,0.2175000011920929,0.357357382774353,4.782258987426758,1.071529746055603,0.5748574137687683,0.359499990940094,2.088594913482666,0.30184489488601685
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,gaussian_noise,4,0.14730000495910645,0.37164419889450073,5.571961879730225,1.129809021949768,0.518944263458252,0.2897999882698059,2.448258876800537,0.2636721730232239
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,gaussian_noise,4,0.17900000512599945,0.3938051462173462,5.389779090881348,1.1315498352050781,0.5728051066398621,0.33480000495910645,2.2889175415039062,0.2928290069103241
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,gaussian_noise,5,0.12380000203847885,0.39514070749282837,6.017353057861328,1.1645570993423462,0.5189407467842102,0.27869999408721924,2.512934446334839,0.2597421705722809
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,gaussian_noise,5,0.1500999927520752,0.4242826998233795,5.898149490356445,1.1803580522537231,0.5743826031684875,0.313400000333786,2.420189380645752,0.28004148602485657
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,shot_noise,1,0.5267999768257141,0.06792613863945007,1.847694754600525,0.6203922033309937,0.5947060585021973,0.5819000005722046,1.0432287454605103,0.3392523229122162
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,shot_noise,1,0.5972999930381775,0.07078011333942413,1.5527608394622803,0.5411449074745178,0.6680800914764404,0.6635000109672546,0.760326623916626,0.3844236731529236
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,shot_noise,2,0.4230000078678131,0.13168928027153015,2.4815258979797363,0.7476546168327332,0.5546892881393433,0.4916999936103821,1.3570702075958252,0.3128521740436554
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,shot_noise,2,0.4918999969959259,0.12788057327270508,2.149831771850586,0.676459789276123,0.6197806000709534,0.5748999714851379,1.0438865423202515,0.35873356461524963
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,shot_noise,3,0.24549999833106995,0.2799890339374542,4.049038410186768,0.9868221879005432,0.5254890322685242,0.35519999265670776,2.0373165607452393,0.283108651638031
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,shot_noise,3,0.29989999532699585,0.2793920636177063,3.7679452896118164,0.9491652250289917,0.5792919993400574,0.41679999232292175,1.7759627103805542,0.31066614389419556
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,shot_noise,4,0.19769999384880066,0.32366788387298584,4.685236930847168,1.0548049211502075,0.5213678479194641,0.3160000145435333,2.2648894786834717,0.2707954943180084
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,shot_noise,4,0.2401999980211258,0.3376246988773346,4.469473838806152,1.0456348657608032,0.5773624777793884,0.37070000171661377,2.0673999786376953,0.2991282343864441
student_resnet20_dkd_nckd_augmixT,resnet20,dkd,shot_noise,5,0.14409999549388885,0.3734634816646576,5.5575971603393555,1.1353317499160767,0.51756352186203,0.28119999170303345,2.4822511672973633,0.25816214084625244
student_wrn_16_2_dkd_nckd_augmixT,wrn_16_2,dkd,shot_noise,5,0.16820000112056732,0.4104515612125397,5.481301784515381,1.1545159816741943,0.5786515474319458,0.31949999928474426,2.4216227531433105,0.2831661105155945
