run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_wrn_16_2_dkd,wrn_16_2,dkd,clean,0,0.7479000091552734,0.08399699628353119,0.9660557508468628,0.3624153435230255,0.8317394256591797,0.7907999753952026,0.5032256841659546,0.4306020140647888
student_wrn_16_2_kd,wrn_16_2,kd,clean,0,0.7419999837875366,0.12483565509319305,1.0933430194854736,0.38591888546943665,0.8666219711303711,0.777999997138977,0.6764715909957886,0.3979932963848114
student_wrn_16_2_kd_T1,wrn_16_2,kd,clean,0,0.73089998960495,0.07617110759019852,1.0139038562774658,0.38057148456573486,0.8066954016685486,0.7526999711990356,0.67606520652771,0.35367894172668457
student_wrn_16_2_scratch,wrn_16_2,none,clean,0,0.7264999747276306,0.086643747985363,1.0327810049057007,0.3868093192577362,0.8130573630332947,0.7477999925613403,0.7161877155303955,0.34824416041374207
student_wrn_16_2_dkd,wrn_16_2,dkd,gaussian_noise,1,0.36899998784065247,0.3034878373146057,3.4325976371765137,0.8965412378311157,0.672487735748291,0.5586000084877014,1.0636054277420044,0.4293123781681061
student_wrn_16_2_kd,wrn_16_2,kd,gaussian_noise,1,0.35830000042915344,0.36992400884628296,4.014396667480469,0.9605556726455688,0.7282240390777588,0.5267000198364258,1.4727354049682617,0.3958507478237152
student_wrn_16_2_kd_T1,wrn_16_2,kd,gaussian_noise,1,0.36800000071525574,0.2579764723777771,3.1274988651275635,0.8557435274124146,0.6259765625,0.4763999879360199,1.4301962852478027,0.32507947087287903
student_wrn_16_2_scratch,wrn_16_2,none,gaussian_noise,1,0.3443000018596649,0.31074753403663635,3.542733669281006,0.9231687784194946,0.6550446152687073,0.4767000079154968,1.5999478101730347,0.34616029262542725
student_wrn_16_2_dkd,wrn_16_2,dkd,gaussian_noise,2,0.2046000063419342,0.449124813079834,5.535542011260986,1.159394383430481,0.6537248492240906,0.4814999997615814,1.2845373153686523,0.423283189535141
student_wrn_16_2_kd,wrn_16_2,kd,gaussian_noise,2,0.19460000097751617,0.5268590450286865,6.786054611206055,1.2562813758850098,0.721459150314331,0.45809999108314514,1.7913035154342651,0.40470895171165466
