config,severity,n,acc_mean,ece_mean,agreement_mean,acc_std,ece_std,agreement_std
student_resnet20_dkd_augmixT,0,3,0.6982333461443583,0.06826041390498477,0.7283333341280619,0.0026539209886113717,0.002487500030373754,0.0002081677378010013
student_resnet20_dkd_augmixT,1,3,0.6077543878764436,0.11020125396418985,0.6552385975394333,0.0007927350170056565,0.0028691501409089664,0.0011016761202087557
student_resnet20_dkd_augmixT,2,3,0.5409666655356423,0.14364582012619884,0.5986964885602918,0.0006130213002275042,0.002310173784807097,0.0003979620813175297
student_resnet20_dkd_augmixT,3,3,0.4969999975802606,0.16942059719248817,0.5609473711565921,0.0004948741961796743,0.0021373152582107903,0.0006353409109410371
student_resnet20_dkd_augmixT,4,3,0.43608596293549784,0.21041071245021983,0.5140929825996098,0.0009866954973159505,0.0009587351275593571,0.0014348411301122988
student_resnet20_dkd_augmixT,5,3,0.3456105293150533,0.2727415075427607,0.44788947492315057,0.0015531921339307004,0.0011639758571866082,0.0020422437489807125
student_resnet20_kd_augmixT,0,3,0.6926999886830648,0.1401604314645131,0.715499997138977,0.0027730980137962128,0.002655928611047457,0.0042438006335322005
student_resnet20_kd_augmixT,1,3,0.5877280650954497,0.20623374481995896,0.6299298243564472,0.000944002358231409,0.002680743228492306,0.0002561898590588813
student_resnet20_kd_augmixT,2,3,0.5158210540549797,0.2519886242715936,0.5662035089835786,0.002092883897683722,0.0037276593028545183,0.0023145572163029275
student_resnet20_kd_augmixT,3,3,0.47008771854534487,0.2818365444739659,0.5259649139224437,0.002771421708983452,0.005298222549858754,0.0020196689216996255
student_resnet20_kd_augmixT,4,3,0.40999649125233034,0.32506665221431796,0.47822280437277076,0.0022338700884663508,0.005199613066967858,0.0024352083554468394
student_resnet20_kd_augmixT,5,3,0.3230017542577626,0.3843602172115393,0.41419122616449994,0.0024777253608053045,0.005014101274243827,0.0034257016079827073
teacher_wrn40_2_augmix,0,1,0.7555999755859375,0.1024529039859771,1.0,,,
teacher_wrn40_2_augmix,1,1,0.6935315822300158,0.13224292193588452,1.0,,,
teacher_wrn40_2_augmix,2,1,0.6498947300409016,0.15240428126172012,1.0,,,
teacher_wrn40_2_augmix,3,1,0.6203894740656802,0.1654920346642795,1.0,,,
teacher_wrn40_2_augmix,4,1,0.5688105241248482,0.19109005167296056,1.0,,,
teacher_wrn40_2_augmix,5,1,0.4873315801745967,0.23493554090198712,1.0,,,
