modele,params_M,acc_id_val,ece_id_val,conf_id_val,agree_id_val,acc_val,ece_val,conf_val,agree_val,acc_test,ece_test,conf_test,agree_test,ood_gap
teacher ResNet-50,23.51,0.9816746115684509,0.0033907140605151653,0.984684407711029,,0.8464932441711426,0.08965474367141724,0.9361481070518494,,0.8359395265579224,0.11180907487869263,0.9476650357246399,,0.14045822620391846
teacher ResNet-50 aug. forte,23.51,0.9730333685874939,0.0028339263517409563,0.972322404384613,,0.9210405945777893,0.026308059692382812,0.9473486542701721,,0.9444823265075684,0.014700639992952347,0.9591829180717468,,0.040271908044815063
student seul,1.52,0.957389771938324,0.0029215102549642324,0.9558840990066528,,0.8087038993835449,0.12973083555698395,0.9384347200393677,,0.7627742290496826,0.14927539229393005,0.9120497107505798,,0.1716507077217102
KD Hinton / T std,1.52,0.9613230228424072,0.020931202918291092,0.9819736480712891,0.9675506353378296,0.8075006008148193,0.17106668651103973,0.9785673022270203,0.8502463698387146,0.5607966780662537,0.38612833619117737,0.9469251036643982,0.6687045693397522,0.2771743834018707
DKD / T std,1.52,0.9575387239456177,0.020554069429636,0.9780926704406738,0.964064359664917,0.797329843044281,0.1743127405643463,0.971561074256897,0.8548876643180847,0.7630446553230286,0.19303467869758606,0.956079363822937,0.7712277173995972,0.1773514747619629
NCKD seul / T std,1.52,0.9418951272964478,0.001858084462583065,0.94093257188797,0.947407603263855,0.8051226139068604,0.11594730615615845,0.9210699200630188,0.8368954658508301,0.6910433173179626,0.185609370470047,0.8766525983810425,0.7529334425926208,0.19381216168403625
KD Hinton / T fort,1.52,0.9524135589599609,0.019572079181671143,0.9719856977462769,0.9579260945320129,0.7853541374206543,0.17323435842990875,0.9585884213447571,0.794980525970459,0.6743245720863342,0.2512284219264984,0.9255530834197998,0.6857408285140991,0.22257420420646667
DKD / T fort,1.52,0.9570024013519287,0.013638736680150032,0.9706410765647888,0.9624850749969482,0.7970719933509827,0.1628037691116333,0.9598756432533264,0.7949232459068298,0.7556963562965393,0.19249103963375092,0.9481873512268066,0.7601523995399475,0.18061822652816772
NCKD seul / T fort,1.52,0.942699670791626,0.0033316544722765684,0.9408811330795288,0.9465435147285461,0.7778764367103577,0.1550721377134323,0.9327600002288818,0.7916284799575806,0.6355139017105103,0.26137951016426086,0.8965306282043457,0.6449784636497498,0.23600450158119202
